tiempo, mV
0.626,0.0663782381959388
0.628,0.0371738186539242
0.63,0.0190211303259029
0.632,0.032536878290703
0.634,0.0575665748758786
0.636,0.0809513831752222
0.638,0.0958472893642226
0.64,0.0952671151375485
0.642,0.0779438221802821
0.644,0.0460704222977211
0.646,0.0311674008055279
0.648,0.040343517549901
0.65,0.0399999999999996
0.652,0.0576987431019045
0.654,0.07619327896947
0.656,0.0424409877939782
0.658,0.0294168575947163
0.66,0.0147328848624521
0.662,-0.0132079691392202
0.664,-0.0344627932669215
0.666,-0.0549272546508772
0.668,-0.0555791389425099
0.67,-0.0640211303259031
0.672,-0.07021607930573
0.674,-0.0737389179709359
0.676,-0.0740392652366736
0.678,-0.0685683709659667
0.68,-0.0270633909777094
0.682,0.025352184306824
0.684,0.0929563857690658
0.686,0.162246368686507
0.688,0.211284991103329
0.69,0.263244294954152
0.692,0.332244318690549
0.694,0.411045092924597
0.696,0.51184757499069
0.698,0.632476068426352
0.7,0.719999999999999
0.702,0.747523931573646
0.704,0.70315242500931
0.706,0.643954907075404
0.708,0.572755681309453
0.71,0.47675570504585
0.712,0.398715008896671
0.714,0.332753631313491
0.716,0.247043614230933
0.718,0.139647815693175
0.72,0.0670633909777087
0.722,0.00356837096596707
0.724,-0.0409607347633253
0.726,-0.0512610820290625
0.728,-0.0497839206942695
0.73,-0.0459788696740972
0.732,-0.0144208610574914
0.734,0.0349272546508762
0.736,0.0694627932669209
0.738,0.0882079691392206
0.74,0.0752671151375489
0.742,0.0455831424052845
0.744,0.00255901220602274
0.746,-0.0311932789694701
0.748,-0.0476987431019051
0.75,-0.045000000000001
0.752,-0.0203435175499019
0.754,-0.0061674008055278
0.756,-0.00607042229772077
0.758,0.002056177819719
0.76,-0.0102671151375476
0.762,-0.0208472893642222
0.764,-0.0359513831752224
0.766,-0.0175665748758793
0.768,-0.0225368782907034
0.77,-0.0190211303259032
0.772,-0.0121738186539238
0.774,-0.0263782381959384
0.776,-0.0355278551449747
0.778,-0.0412076911909688
0.78,-0.0570633909777093
0.782,-0.0470084954681745
0.784,-0.0355550243226339
0.786,-0.0351143110884902
0.788,-0.0267572695484768
0.79,-0.0417557050458489
0.792,-0.0407979419612578
0.794,-0.0313155868504016
0.796,-0.0216638351010091
0.798,0.000115388651355304
0.8,0.0399999999999999
0.802,0.0498846113486448
0.804,0.0516638351010094
0.806,0.0463155868504023
0.808,0.0357979419612584
0.81,0.0267557050458494
0.812,0.0317572695484769
0.814,0.0551143110884898
0.816,0.0655550243226322
0.818,0.0820084954681728
0.82,0.0820633909777093
0.822,0.0612076911909693
0.824,0.0555278551449763
0.826,0.0213782381959388
0.828,0.0121738186539245
0.83,0.00402113032590276
0.832,0.0225368782907031
0.834,0.0425665748758779
0.836,0.0709513831752219
0.838,0.0808472893642222
0.84,0.0852671151375492
0.842,0.0729438221802826
0.844,0.0560704222977213
0.846,0.0461674008055277
0.848,0.0353435175499009
0.85,0.0499999999999998
0.852,0.0576987431019045
0.854,0.0661932789694701
0.856,0.0574409877939786
0.858,0.0444168575947171
0.86,0.0247328848624527
0.862,0.0117920308607797
0.864,0.00553720673307846
0.866,0.0150727453491223
0.868,0.0244208610574903
0.87,0.0259788696740968
0.872,0.0397839206942702
0.874,0.0462610820290639
0.876,0.0459607347633268
0.878,0.0414316290340334
0.88,0.0629366090222909
0.882,0.0753521843068232
0.884,0.0979563857690651
0.886,0.112246368686507
0.888,0.11128499110333
0.89,0.108244294954151
0.892,0.112244318690549
0.894,0.116045092924596
0.896,0.13184757499069
0.898,0.142476068426353
0.9,0.159999999999999
0.902,0.162523931573646
0.904,0.17815242500931
0.906,0.178954907075404
0.908,0.157755681309453
0.91,0.15175570504585
0.912,0.163715008896671
0.914,0.197753631313492
0.916,0.222043614230934
0.918,0.249647815693176
0.92,0.262063390977709
0.922,0.258568370965967
0.924,0.244039265236675
0.926,0.228738917970937
0.928,0.22021607930573
0.93,0.219021130325903
0.932,0.225579138942509
0.934,0.254927254650877
0.936,0.264462793266921
0.938,0.258207969139221
0.94,0.230267115137549
0.942,0.180583142405285
0.944,0.137559012206023
0.946,0.10880672103053
0.948,0.102301256898095
0.95,0.105
0.952,0.119656482450098
0.954,0.108832599194473
0.956,0.11892957770228
0.958,0.10705617781972
0.96,0.0797328848624527
0.962,0.0541527106357775
0.964,0.0440486168247771
0.966,0.0474334251241198
0.968,0.0474631217092961
0.97,0.0309788696740967
0.972,0.0128261813460765
0.974,0.00862176180406232
0.976,-0.0105278551449742
0.978,-0.0312076911909684
0.98,-0.0470633909777097
0.982,-0.0570084954681749
0.984,-0.0605550243226341
0.986,-0.0551143110884907
0.988,-0.0617572695484768
0.99,-0.0617557050458486
0.992,-0.0507979419612573
0.994,-0.0463155868504012
0.996,-0.0516638351010092
0.998,-0.0298846113486451
1,-0.0100000000000009
1.002,-0.00511538865135635
1.004,0.00166383510100897
1.006,-0.00868441314959788
